stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
yes,yes,yes,yes,3,395,405,1,495,512,8,591,574,597,593,18,45,45,45,45,800,1007,1165,1190,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1
yes,no,no,no,6,430,513,,,,,,,,,,27,,,,943,,,,0,,,,0,,,,0,1,0,1,1,,,
yes,yes,yes,yes,2,410,484,15,488,562,5,622,659,639,639,31,39,39,39,39,894,1050,1281,1278,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
no,no,no,yes,,,,,,,,,,,,26,,,,66,,,,,,,,0,,,,0,1,0,0,1,,,,1
yes,no,no,no,8,403,434,,,,,,,,,,17,,,,837,,,,0,,,,1,,,,0,1,0,1,1,,,
yes,no,no,no,27,418,459,,,,,,,,,,70,,,,877,,,,0,,,,1,,,,1,0,0,1,0,,,
yes,no,no,no,9,413,449,,,,,,,,,,53,,,,862,,,,1,,,,0,,,,0,1,0,1,0,,,
yes,no,no,no,first year teacher,,468,,,,,,,,,,42,,,,,,,,1,,,,0,,,,1,0,0,1,0,,,
no,yes,no,no,,,,8,423,436,,,,,,,,53,,,,859,,,,0,,,,0,,,1,0,0,0,,1,,
no,yes,yes,yes,,,,2,444,488,1,503,530,513,533,3,,30,30,30,,932,1033,1046,,0,0,0,,0,0,0,0,1,0,1,,1,1,1
yes,yes,yes,yes,18,419,444,21,527,515,4,611,559,612,591,18,25,25,25,25,863,1042,1170,1203,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,6,434,468,7,579,553,10,622,615,616,589,18,72,72,72,72,902,1132,1237,1205,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0
yes,no,no,no,4,422,463,,,,,,,,,,62,,,,885,,,,0,,,,1,,,,1,0,0,1,1,,,
no,no,yes,yes,,,,,,,10,631,587,,,7,,,53,53,,,1218,,,,0,0,,,1,1,0,1,0,0,,,1,1
yes,yes,yes,yes,6,,,first year teacher,483,545,19,627,570,614,604,14,31,31,14,31,,1028,1197,1218,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
yes,yes,yes,yes,27,442,468,27,488,515,10,568,550,590,567,4,40,40,40,40,910,1003,1118,1157,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
yes,yes,yes,yes,13,400,444,6,465,490,23,544,552,593,588,11,56,56,56,56,844,955,1096,1181,0,0,0,0,0,1,1,1,0,1,0,1,1,,1,1
no,yes,no,no,,,,13,512,486,,,,,,,,8,,,,998,,,,0,,,,1,,,1,0,0,1,,0,,
no,no,no,yes,,,,,,,,,,562,597,8,,,,25,,,,1159,,,,0,,,,1,0,1,0,1,,,,1
yes,yes,yes,no,1,419,434,4,447,493,26,499,464,,,,33,33,33,,853,940,963,,1,1,1,,0,0,0,,0,1,0,1,1,1,1,
yes,yes,no,no,first year teacher,440,444,5,477,515,,,,,,,27,27,,,884,992,,,0,0,,,0,0,,,0,1,0,1,1,1,,
no,yes,yes,no,,,,16,530,567,8,618,639,,,,,69,69,,,1097,1257,,,0,0,,,1,1,,1,0,0,0,,0,1,
no,no,no,yes,,,,,,,,,,567,573,22,,,,26,,,,1140,,,,0,,,,0,0,1,0,0,,,,1
no,no,no,yes,,,,,,,,,,614,586,5,,,,51,,,,1200,,,,0,,,,0,0,1,0,1,,,,0
yes,yes,yes,yes,12,483,536,27,527,562,35,599,620,,,5,27,27,27,27,1019,1089,1219,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
no,no,no,yes,,,,,,,,,,639,636,17,,,,51,,,,1275,,,,1,,,,0,0,1,0,0,,,,0
no,no,no,yes,,,,,,,,,,600,604,13,,,,72,,,,1204,,,,0,,,,0,1,0,0,1,,,,1
no,yes,yes,no,,,,7,472,507,2,532,554,,,,,44,44,,,979,1086,,,0,1,,,0,0,,0,1,0,1,,1,1,
yes,no,no,no,13,,,,,,,,,,,,54,,,,,,,,0,,,,0,,,,1,0,0,0,0,,,
no,yes,no,no,,,,3,527,567,,,,,,,,54,,,,1094,,,,0,,,,0,,,1,0,0,0,,1,,
yes,yes,yes,yes,8,538,547,13,629,572,15,669,599,670,642,17,49,49,49,49,1085,1201,1268,1312,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
no,yes,no,no,,,,12,,493,,,,,,,,70,,,,,,,,1,,,,0,,,1,0,0,1,,1,,
yes,no,no,no,17,413,429,,,,,,,,,,29,,,,842,,,,0,,,,1,,,,0,1,0,0,1,,,
yes,yes,no,no,13,434,459,12,497,502,,,,,,,60,60,,,893,999,,,0,1,,,0,0,,,1,0,0,0,1,1,,
yes,yes,yes,yes,16,492,528,16,604,612,8,650,626,661,678,12,69,69,69,69,1020,1216,1276,1339,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
yes,no,no,no,17,458,520,,,,,,,,,,58,,,,978,,,,0,,,,1,,,,1,0,0,0,0,,,
no,yes,no,no,,,,11,,,,,,,,,,60,,,,,,,,0,,,,0,,,1,0,0,0,,1,,
no,no,yes,yes,,,,,,,5,560,565,622,645,22,,,16,14,,,1125,1267,,,0,1,,,1,0,0,1,0,1,,,1,1
yes,no,no,no,3,,,,,,,,,,,,32,,,,,,,,0,,,,0,,,,0,1,0,1,1,,,
no,no,no,yes,,,,,,,,,,608,626,13,,,,48,,,,1234,,,,1,,,,0,1,0,0,1,,,,1
yes,no,no,no,1,,,,,,,,,,,,32,,,,,,,,1,,,,0,,,,,,,0,,,,
no,yes,yes,no,,,,8,468,545,10,499,552,,,,,72,72,,,1013,1051,,,0,0,,,0,0,,1,0,0,1,,1,1,
no,no,yes,yes,,,,,,,5,627,603,641,700,5,,,43,43,,,1230,1341,,,1,1,,,0,0,1,0,0,1,,,0,0
yes,no,no,no,first year teacher,416,418,,,,,,,,,,17,,,,834,,,,0,,,,0,,,,0,1,0,1,0,,,
yes,yes,yes,yes,13,440,500,11,505,502,13,611,533,606,585,17,55,55,55,55,940,1007,1144,1191,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
yes,no,no,no,17,,,,,,,,,,,,36,,,,,,,,1,,,,0,,,,1,0,0,1,0,,,
no,yes,yes,no,,,,21,495,502,2,,,,,,,14,14,,,997,,,,0,0,,,0,0,,0,1,0,0,,,,
yes,no,no,no,3,410,454,,,,,,,,,,42,,,,864,,,,0,,,,1,,,,1,0,0,0,0,,,
yes,no,no,no,11,465,484,,,,,,,,,,18,,,,949,,,,0,,,,1,,,,0,1,0,0,0,,,
yes,no,no,no,5,430,444,,,,,,,,,,37,,,,874,,,,0,,,,0,,,,0,0,1,1,0,,,
yes,no,no,no,11,414,434,,,,,,,,,,60,,,,848,,,,1,,,,0,,,,1,0,0,1,1,,,
yes,yes,yes,yes,9,425,478,7,530,512,15,627,584,647,631,24,7,7,7,7,903,1042,1211,1278,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
no,no,no,yes,,,,,,,,,,572,574,22,,,,64,,,,1146,,,,0,,,,0,1,0,0,1,,,,0
yes,yes,yes,yes,6,414,444,2,540,512,10,544,540,595,606,10,24,24,24,24,858,1052,1084,1201,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0
no,no,yes,yes,,,,,,,31,637,632,665,678,18,,,51,51,,,1269,1343,,,0,0,,,0,1,1,0,0,0,,,0,0
yes,yes,yes,yes,13,443,473,18,514,486,14,618,599,608,586,3,38,38,38,38,916,1000,1217,1194,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
yes,yes,no,no,6,410,418,12,448,488,,,,,,,2,2,,,828,936,,,0,1,,,0,0,,,0,1,0,1,1,1,,
yes,yes,yes,yes,7,476,520,15,604,567,20,614,632,647,629,20,63,63,63,63,996,1171,1246,1276,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,6,430,454,16,536,523,15,593,579,583,591,15,63,63,63,63,884,1059,1172,1174,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
yes,yes,no,no,6,411,478,8,,,,,,,,,63,63,,,889,,,,0,1,,,0,0,,,1,0,0,1,1,1,,
no,no,yes,yes,,,,,,,1,484,504,,,5,,,66,66,,,988,,,,0,0,,,0,0,1,0,0,1,,,1,1
yes,yes,yes,no,7,384,375,2,471,518,29,520,548,,,,56,56,56,,759,989,1068,,0,0,0,,1,1,1,,1,0,0,1,0,0,0,
yes,yes,no,no,2,407,434,38,439,505,,,,,,,16,16,,,841,944,,,1,1,,,0,0,,,0,1,0,0,1,1,,
no,no,yes,yes,,,,,,,30,518,536,575,573,31,,,32,32,,,1054,1148,,,0,0,,,0,0,0,1,0,0,,,1,1
no,no,no,yes,,,,,,,,,,499,536,17,,,,49,,,,1035,,,,0,,,,1,0,1,0,1,,,,1
yes,yes,no,yes,first year teacher,,,first year teacher,,,,,,527,515,30,31,31,,19,,,,1042,0,1,,0,0,0,,1,0,1,0,1,1,1,,1
no,yes,yes,yes,,,,2,495,512,29,544,584,597,574,15,,56,56,56,,1007,1128,1171,,0,0,0,,1,1,1,0,1,0,1,,1,1,1
yes,no,no,no,11,431,500,,,,,,,,,,49,,,,931,,,,0,,,,0,,,,1,0,0,0,0,,,
yes,yes,no,no,11,461,559,26,516,562,,,,,,,27,33,,,1020,1078,,,1,1,,,0,0,,,0,1,0,0,1,1,,
no,no,yes,no,,,,,,,13,517,522,,,,,,26,,,,1039,,,,0,,,,1,,0,1,0,0,,,1,
yes,yes,yes,no,24,545,602,2,519,523,1,584,582,,,,30,30,30,,1147,1042,1166,,0,0,0,,1,0,0,,0,1,0,0,1,1,0,
yes,yes,yes,yes,6,,,7,571,584,10,643,615,599,616,18,72,72,72,72,,1155,1258,1215,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
yes,yes,yes,no,12,,,20,527,510,18,568,599,,,,35,35,35,,,1037,1167,,0,0,0,,1,0,0,,1,0,0,0,1,1,1,
yes,no,no,no,24,443,520,,,,,,,,,,44,,,,963,,,,0,,,,0,,,,1,0,0,0,1,,,
yes,yes,no,no,12,428,459,8,475,481,,,,,,,46,46,,,887,956,,,0,1,,,0,0,,,1,0,0,0,1,1,,
yes,yes,no,no,5,419,429,11,474,497,,,,,,,9,9,,,848,971,,,0,0,,,0,0,,,1,0,0,0,1,0,,
yes,yes,yes,yes,14,470,500,10,514,507,19,582,557,599,597,16,9,9,9,9,970,1021,1139,1196,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
yes,no,no,no,13,437,489,,,,,,,,,,67,,,,926,,,,0,,,,1,,,,1,0,0,0,0,,,
yes,yes,yes,yes,5,445,528,2,564,549,19,604,599,636,620,first year teacher,47,47,47,47,973,1113,1203,1256,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
no,no,no,yes,,,,,,,,,,,,4,,,,66,,,,,,,,0,,,,1,1,0,0,1,,,,0
no,yes,yes,yes,,,,4,604,584,14,709,639,670,684,4,,66,66,66,,1188,1348,1354,,0,0,0,,1,1,1,1,0,0,0,,0,0,0
no,no,yes,no,,,,,,,8,602,599,,,,,,7,,,,1201,,,,0,,,,1,,1,0,0,0,,,0,
no,no,yes,yes,,,,,,,12,517,587,523,558,2,,,29,29,,,1104,1081,,,0,0,,,1,1,0,1,0,1,,,1,1
no,yes,no,no,,,,22,,493,,,,,,,,43,,,,,,,,0,,,,0,,,1,0,0,0,,0,,
yes,yes,yes,yes,1,402,439,18,558,538,15,650,572,,,15,76,77,77,77,841,1096,1222,,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,
yes,yes,yes,yes,6,419,478,12,540,523,6,562,579,600,610,15,62,62,62,62,897,1063,1141,1210,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0
no,no,yes,yes,,,,,,,,520,528,529,554,22,,,24,24,,,1048,1083,,,0,0,,,1,1,0,1,0,0,,,1,1
yes,no,no,no,1,430,478,,,,,,,,,,6,,,,908,,,,0,,,,0,,,,1,0,0,1,1,,,
yes,yes,yes,yes,13,518,602,16,651,572,4,622,599,616,651,14,11,11,11,11,1120,1223,1221,1267,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
yes,yes,yes,yes,9,434,513,5,494,520,first year teacher,569,584,629,648,15,12,12,12,12,947,1014,1153,1277,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
no,no,no,yes,,,,,,,,,,,,19,,,,53,,,,,,,,0,,,,0,0,1,0,0,,,,1
no,yes,yes,yes,,,,4,571,538,28,650,632,641,648,11,,23,23,23,,1109,1282,1289,,1,1,1,,0,0,0,0,1,0,0,,0,0,0
yes,yes,yes,yes,4,503,559,15,629,627,20,669,699,713,726,20,63,63,63,63,1062,1256,1368,1439,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
no,no,yes,no,,,,,,,9,541,572,,,,,,5,,,,1113,,,,0,,,,0,,0,0,1,1,,,0,
no,no,no,yes,,,,,,,,,,636,651,22,,,,43,,,,1287,,,,0,,,,1,1,0,0,0,,,,0
no,no,yes,no,,,,,,,14,,,,,,,,54,,,,,,,,0,,,,0,,1,0,0,1,,,1,
yes,no,no,no,11,414,405,,,,,,,,,,31,,,,819,,,,0,,,,1,,,,0,1,0,0,1,,,
yes,no,no,no,8,405,405,,,,,,,,,,74,,,,810,,,,0,,,,1,,,,0,1,0,1,0,,,
yes,no,no,no,3,565,626,,,,,,,,,,42,,,,1191,,,,0,,,,1,,,,1,0,0,1,0,,,
yes,yes,yes,yes,5,,,2,474,479,22,550,557,567,550,10,39,39,39,39,,953,1107,1117,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
no,no,yes,no,,,,,,,40,538,563,,,,,,29,,,,1101,,,,0,,,,0,,0,1,0,0,,,1,
yes,yes,yes,yes,5,,473,10,553,562,25,596,574,622,589,2,67,67,67,67,,1115,1170,1211,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
no,yes,yes,no,,,,3,487,497,2,,473,,,,,19,19,,,984,,,,0,0,,,0,1,,0,1,0,1,,1,1,
yes,yes,yes,yes,10,460,576,8,651,627,16,709,699,680,691,6,3,3,3,3,1036,1278,1408,1371,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,4,425,449,2,516,523,2,584,590,616,642,13,80,80,80,80,874,1039,1174,1258,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
yes,no,no,no,13,384,439,,,,,,,,,,8,,,,823,,,,1,,,,0,,,,1,0,0,1,1,,,
yes,yes,no,no,6,414,444,15,426,465,,,,,,,19,19,,,858,891,,,0,0,,,0,0,,,0,1,0,1,1,1,,
no,yes,no,no,,,,8,466,505,,,,,,,,59,,,,971,,,,0,,,,0,,,1,0,0,1,,1,,
no,yes,yes,yes,,,,4,516,520,22,573,526,,,14,,71,71,71,,1036,1099,,,0,0,0,,0,0,0,1,0,0,0,,0,,1
no,yes,no,no,,,,16,590,578,,,,,,,,11,,,,1168,,,,0,,,,1,,,1,0,0,1,,1,,
no,yes,yes,yes,,,,20,579,512,18,650,603,693,655,8,,17,17,17,,1091,1253,1348,,0,1,1,,1,0,0,1,0,0,1,,0,0,0
no,yes,yes,yes,,,,3,536,567,15,569,632,633,667,21,,41,41,41,,1103,1201,1300,,0,0,0,,1,1,1,1,0,0,1,,0,0,0
yes,yes,no,no,3,431,506,5,438,474,,,,,,,56,56,,,937,912,,,0,0,,,0,0,,,0,1,0,1,1,1,,
yes,yes,yes,no,1,422,444,38,497,497,10,545,541,,,,16,16,16,,866,994,1086,,1,1,1,,0,0,0,,0,1,0,1,1,1,1,
yes,yes,yes,yes,12,431,500,3,463,520,25,575,607,665,667,12,46,46,46,46,931,983,1182,1332,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
yes,yes,yes,yes,6,463,520,11,590,526,31,622,603,641,655,7,69,69,69,69,983,1116,1225,1296,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
no,yes,no,no,,,,11,651,584,,,,,,,,69,,,,1235,,,,0,,,,0,,,1,0,0,0,,1,,
no,no,no,yes,,,,,,,,,,629,678,30,,,,74,,,,1307,,,,1,,,,0,1,0,0,1,,,,0
yes,yes,yes,yes,5,455,520,2,564,584,13,604,639,680,642,31,29,29,29,29,975,1148,1243,1322,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1
no,no,yes,no,,,,,,,9,508,545,,,,,,29,,,,1053,,,,0,,,,0,,0,1,0,1,,,1,
no,yes,no,no,,,,13,,,,,,,,,,52,,,,,,,,0,,,,1,,,1,0,0,1,,1,,
yes,yes,yes,yes,5,425,459,2,651,520,22,627,574,654,614,10,39,39,39,39,884,1171,1201,1268,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
yes,no,no,no,1,395,429,,,,,,,,,,22,,,,824,,,,0,,,,0,,,,0,1,0,1,1,,,
no,no,no,yes,,,,,,,,,,639,612,4,,,,21,,,,1251,,,,0,,,,0,1,0,0,1,,,,0
no,yes,no,no,,,,33,,,,,,,,,,21,,,,,,,,0,,,,0,,,0,0,1,0,,0,,
no,no,yes,yes,,,,,,,8,604,611,644,645,11,,,72,72,,,1215,1289,,,0,0,,,1,1,1,0,0,1,,,0,0
no,no,no,yes,,,,,,,,,,620,616,14,,,,11,,,,1236,,,,0,,,,1,1,0,0,0,,,,1
no,yes,yes,no,,,,first year teacher,,,7,557,584,,,,,70,69,,,,1141,,,0,1,,,0,0,,1,0,0,1,,1,1,
yes,no,no,no,6,421,500,,,,,,,,,,50,,,,921,,,,1,,,,0,,,,1,0,0,1,0,,,
yes,yes,no,no,11,451,473,20,505,510,,,,,,,37,37,,,924,1015,,,0,0,,,1,0,,,1,0,0,0,0,0,,
yes,no,no,no,12,393,405,,,,,,,,,,79,,,,798,,,,0,,,,1,,,,1,0,0,1,1,,,
no,yes,yes,yes,,,,20,544,578,5,584,590,622,591,3,,3,3,3,,1122,1174,1213,,0,0,0,,1,1,1,1,0,0,1,,0,1,0
yes,yes,yes,yes,5,411,468,2,471,520,22,568,603,582,580,10,39,39,39,39,879,991,1171,1162,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
no,yes,no,no,,,,2,488,502,,,,,,,,28,,,,990,,,,0,,,,0,,,0,1,0,1,,1,,
yes,yes,yes,yes,10,487,520,9,604,567,2,637,626,693,700,15,68,68,68,68,1007,1171,1263,1393,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
no,yes,no,no,,,,17,553,562,,,,,,,,14,,,,1115,,,,0,,,,1,,,0,1,0,1,,1,,
no,no,no,yes,,,,,,,,,,511,515,7,,,,44,,,,1026,,,,1,,,,0,1,0,0,1,,,,1
yes,yes,yes,yes,12,472,602,13,579,627,10,669,699,670,672,30,74,74,74,74,1074,1206,1368,1342,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,no,no,no,10,407,449,,,,,,,,,,72,,,,856,,,,0,,,,1,,,,1,0,0,0,1,,,
yes,yes,yes,yes,12,439,547,12,441,518,23,494,490,,,12,50,50,50,50,986,959,984,,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
no,no,yes,yes,,,,,,,12,521,526,554,591,14,,,22,22,,,1047,1145,,,0,0,,,0,1,0,1,0,0,,,1,1
no,no,no,yes,,,,,,,,,,624,593,3,,,,28,,,,1217,,,,0,,,,1,0,1,0,1,,,,1
no,no,no,yes,,,,,,,,,,577,603,9,,,,9,,,,1180,,,,1,,,,0,1,0,0,1,,,,1
yes,no,no,no,8,397,423,,,,,,,,,,70,,,,820,,,,1,,,,0,,,,1,0,0,0,0,,,
no,yes,no,no,,,,11,553,484,,,,,,,,37,,,,1037,,,,0,,,,1,,,1,0,0,1,,1,,
yes,yes,yes,yes,12,433,494,first year teacher,527,653,1,608,699,693,752,3,45,45,45,45,927,1180,1307,1445,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
no,no,yes,yes,,,,,,,1,538,556,565,591,3,,,30,30,,,1094,1156,,,0,0,,,0,0,0,1,0,1,,,1,1
yes,no,no,no,3,463,478,,,,,,,,,,42,,,,941,,,,0,,,,1,,,,1,0,0,1,0,,,
no,yes,no,no,,,,3,433,477,,,,,,,,19,,,,910,,,,0,,,,0,,,0,1,0,1,,1,,
yes,yes,yes,yes,4,450,468,12,533,532,6,602,556,612,588,16,80,80,80,80,918,1065,1158,1200,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
yes,no,no,no,11,403,468,,,,,,,,,,18,,,,871,,,,0,,,,1,,,,0,1,0,1,1,,,
yes,yes,yes,yes,first year teacher,422,547,16,485,510,12,545,518,562,593,18,17,17,17,17,969,995,1063,1155,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
no,no,no,yes,,,,,,,,,,585,606,14,,,,11,,,,1191,,,,0,,,,1,0,1,0,0,,,,1
yes,yes,yes,yes,7,460,484,27,497,529,12,545,554,590,620,19,9,9,9,9,944,1026,1099,1210,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
no,no,no,yes,,,,,,,,,,,,37,,,,11,,,,,,,,0,,,,0,1,0,0,1,,,,1
no,no,yes,no,,,,,,,13,,,,,,,,28,,,,,,,,0,,,,1,,0,1,0,1,,,1,
no,yes,yes,yes,,,,18,507,549,33,602,587,572,639,7,,75,75,75,,1056,1189,1211,,0,0,0,,1,1,1,1,0,0,0,,0,0,0
yes,no,yes,yes,8,413,468,,,,10,,,626,618,15,8,,8,8,881,,,1244,1,,0,0,0,,0,0,1,0,0,0,0,,1,1
no,yes,yes,yes,,,,11,519,542,13,575,568,618,583,37,,11,11,11,,1061,1143,1201,,0,0,0,,0,0,0,1,0,0,0,,0,1,0
no,no,yes,yes,,,,,,,8,591,639,636,663,11,,,72,72,,,1230,1299,,,0,0,,,1,1,1,0,0,1,,,1,0
yes,yes,yes,yes,21,424,484,1,564,529,12,573,563,610,601,3,40,40,40,40,908,1093,1136,1211,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
yes,no,yes,yes,24,474,602,,,,14,618,620,606,599,19,22,,22,22,1076,,1238,1205,0,,1,1,0,,0,0,0,1,0,0,0,,0,0
yes,no,no,no,7,402,365,,,,,,,,,,56,,,,767,,,,0,,,,1,,,,1,0,0,1,0,,,
no,yes,no,no,,,,18,516,495,,,,,,,,46,,,,1011,,,,1,,,,0,,,1,0,0,0,,0,,
no,no,yes,yes,,,,,,,13,527,543,629,648,12,,,26,28,,,1070,1277,,,0,0,,,1,1,0,1,0,1,,,1,1
no,no,no,yes,,,,,,,,,,639,610,19,,,,54,,,,1249,,,,0,,,,1,0,1,0,1,,,,1
yes,yes,yes,yes,17,448,444,16,536,515,17,604,556,599,589,11,48,48,48,48,892,1051,1160,1188,1,1,1,1,0,0,0,0,0,1,0,1,1,1,,1
yes,no,no,no,10,416,459,,,,,,,,,,18,,,,875,,,,0,,,,0,,,,0,1,0,0,1,,,
yes,no,no,no,13,,,,,,,,,,,,60,,,,,,,,0,,,,0,,,,1,0,0,1,1,,,
no,yes,no,no,,,,10,,,,,,,,,,1,,,,,,,,0,,,,1,,,1,0,0,0,,1,,
no,no,yes,yes,,,,,,,31,631,596,650,659,9,,,51,51,,,1227,1309,,,0,1,,,0,0,1,0,0,1,,,0,0
no,yes,yes,yes,,,,42,519,505,15,582,535,590,599,9,,63,63,63,,1024,1117,1189,,0,0,0,,0,0,0,0,1,0,1,,1,1,1
no,yes,yes,no,,,,1,441,490,12,549,525,,,,,22,22,,,931,1074,,,0,0,,,0,0,,0,1,0,0,,1,1,
yes,yes,yes,yes,21,431,459,5,524,549,3,571,559,583,593,12,40,40,40,40,890,1073,1130,1176,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1
no,no,no,yes,,,,,,,,,,545,526,28,,,,1,,,,1071,,,,1,,,,0,1,0,0,1,,,,1
no,yes,yes,yes,,,,11,521,545,2,575,584,629,604,15,,73,73,73,,1066,1159,1233,,0,0,0,,1,1,1,1,0,0,0,,1,1,1
yes,yes,yes,yes,2,421,528,31,553,553,1,596,639,657,645,12,71,71,71,71,949,1106,1235,1302,0,0,0,0,1,1,1,1,1,0,0,1,0,1,,0
no,no,no,yes,,,,,,,,,,614,586,3,,,,28,,,,1200,,,,0,,,,1,0,1,0,1,,,,1
yes,yes,yes,yes,8,483,576,16,530,523,12,588,548,654,636,19,17,17,17,17,1059,1053,1136,1290,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
no,no,no,yes,,,,,,,,,,631,583,19,,,,53,,,,1214,,,,0,,,,0,0,1,0,0,,,,1
yes,yes,yes,yes,12,418,489,16,571,562,15,599,603,600,618,15,63,63,63,63,907,1133,1202,1218,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
no,no,yes,no,,,,,,,12,,,,,,,,17,,,,,,,,0,,,,0,,1,0,0,1,,,1,
yes,yes,yes,yes,2,422,454,25,495,472,4,575,561,610,604,22,16,16,16,16,876,967,1136,1214,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
no,yes,no,no,,,,17,544,578,,,,,,,,79,,,,1122,,,,0,,,,0,,,1,0,0,0,,1,,
yes,yes,yes,yes,first year teacher,439,576,4,564,592,28,659,659,661,678,11,23,23,23,23,1015,1156,1318,1339,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
yes,yes,yes,yes,15,463,536,12,,567,14,,,,655,1,70,70,70,70,999,,,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,5,497,506,20,629,601,15,643,615,661,651,16,9,9,9,9,1003,1230,1258,1312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
yes,yes,yes,yes,4,421,500,20,564,518,18,611,599,606,636,17,35,35,35,35,921,1082,1210,1242,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
yes,no,no,no,17,393,459,,,,,,,,,,16,,,,852,,,,0,,,,1,,,,0,1,0,1,1,,,
no,no,yes,yes,,,,,,,1,506,522,,,23,,,16,16,,,1028,,,,0,0,,,0,1,0,1,0,1,,,1,1
yes,no,no,no,11,421,536,,,,,,,,,,18,,,,957,,,,0,,,,1,,,,1,0,0,1,0,,,
no,yes,no,no,,,,12,,,,,,,,,,52,,,,,,,,1,,,,0,,,1,0,0,0,,0,,
yes,yes,yes,yes,15,443,484,13,651,538,first year teacher,593,565,631,620,2,65,65,65,65,927,1189,1158,1251,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
yes,yes,yes,yes,11,431,463,19,579,562,12,591,568,639,639,2,59,59,59,59,894,1141,1159,1278,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,no,no,no,5,393,454,,,,,,,,,,34,,,,847,,,,0,,,,1,,,,1,0,0,0,1,,,
no,yes,no,no,,,,1,629,612,,,,,,,,37,,,,1241,,,,0,,,,0,,,1,0,0,0,,0,,
yes,yes,yes,yes,12,450,528,12,524,520,8,618,582,680,639,15,51,51,51,51,978,1044,1200,1319,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,13,,506,first year teacher,521,567,16,622,587,636,645,1,76,77,77,77,,1088,1209,1281,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
no,yes,yes,no,,,,23,485,495,10,571,538,,,,,21,21,,,980,1109,,,0,0,,,0,0,,0,1,0,0,,0,0,
no,yes,yes,yes,,,,32,457,497,7,512,522,549,556,9,,20,20,20,,954,1034,1105,,1,1,1,,0,0,0,0,1,0,1,,1,0,1
